ID,Text,Target_1
490,"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card",ham
491,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",spam
492,"Sorry,in meeting I'll call later",ham
493,What class of  &lt;#&gt;  reunion?,ham
494,Are you free now?can i call now?,ham
495,Got meh... When?,ham
496,Nope... Think i will go for it on monday... Sorry i replied so late,ham
497,Some of them told accenture is not confirm. Is it true.,ham
498,"Kate jackson rec center before 7ish, right?",ham
499,Dear i have reache room,ham
500,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",ham
501,When can �_ come out?,ham
502,Check with nuerologist.,ham
503,Lolnice. I went from a fish to ..water.?,ham
504,+123 Congratulations - in this week's competition draw u have won the ��1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,spam
505,No it's waiting in e car dat's bored wat. Cos wait outside got nothing 2 do. At home can do my stuff or watch tv wat.,ham
506,"Maybe westshore or hyde park village, the place near my house?",ham
507,You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|,ham
508,What's the significance?,ham
509,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,ham
510,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",ham
511,Prabha..i'm soryda..realy..frm heart i'm sory,ham
512,Lol ok your forgiven :),ham
513,No..jst change tat only..,ham
514,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a ��500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",spam
515,S:)no competition for him.,ham
516,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,spam
517,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz,spam
518,"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri. ",ham
519,Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now,ham
520,But that's on ebay it might be less elsewhere.,ham
521,Shall i come to get pickle,ham
522,Were gonna go get some tacos,ham
523,"That's very rude, you on campus?",ham
524,"URGENT!: Your Mobile No. was awarded a ��2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",spam
525,Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.,ham
526,"Today's Offer! Claim ur ��150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. ��3.00 Sub. 16 . Unsub reply X",spam
527,Yes! How is a pretty lady like you single?,ham
528,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,spam
529,Jay says that you're a double-faggot,ham
530,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,spam
531,What Today-sunday..sunday is holiday..so no work..,ham
532,Gudnite....tc...practice going on,ham
533,I'll be late...,ham
534,"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day.",ham
535,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea",ham
536,"Probably gonna be here for a while, see you later tonight &lt;)",ham
537,Or maybe my fat fingers just press all these buttons and it doesn't know what to do.,ham
538,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,ham
539,"I am in tirupur da, once you started from office call me.",ham
540,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,spam
541,"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'",ham
542,But am going to college pa. What to do. are else ill come there it self. Pa.,ham
543,4 oclock at mine. Just to bash out a flat plan.,ham
544,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed,ham
545,Then any special there?,ham
546,I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin,ham
547,"Sorry that took so long, omw now",ham
548,Wait  &lt;#&gt;  min..,ham
549,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.,ham
550,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",ham
551,"Hurry up, I've been weed-deficient for like three days",ham
552,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo",ham
553,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know,ham
554,I���ll have a look at the frying pan in case it���s cheap or a book perhaps. No that���s silly a frying pan isn���t likely to be a book,ham
555,O. Well uv causes mutations. Sunscreen is like essential thesedays,ham
556,Having lunch:)you are not in online?why?,ham
557,I know that my friend already told that.,ham
558,Hi Princess! Thank you for the pics. You are very pretty. How are you?,ham
559,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. ",ham
560,Hi msg me:)i'm in office..,ham
561,Thanx 4 e brownie it's v nice...,ham
562,Geeeee ... I love you so much I can barely stand it,ham
563,GENT! We are trying to contact you. Last weekends draw shows that you won a ��1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm ,spam
564,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ...",ham
565,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?",ham
566,Oooh bed ridden ey? What are YOU thinking of?,ham
567,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already",ham
568,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!,ham
569,WOT U WANNA DO THEN MISSY?,ham
570,Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...,ham
571,Do you know where my lab goggles went,ham
572,Can you open the door?,ham
573,Waiting for your call.,ham
574,Nope i waiting in sch 4 daddy... ,ham
575,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",spam
576,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",ham
577,�� wait 4 me in sch i finish ard 5..,ham
578,"our mobile number has won ��5000, to claim calls us back or ring the claims hot line on 09050005321.",spam
579,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.",ham
580,Huh so early.. Then �_ having dinner outside izzit?,ham
581,Ok anyway no need to change with what you said,ham
582,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,spam
583,my ex-wife was not able to have kids. Do you want kids one day?,ham
584,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream,ham
585,Tell them u have a headache and just want to use 1 hour of sick time.,ham
586,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... ",ham
587,"\Pete can you please ring meive hardly gotany credit\""""",ham
588,Ya srsly better than yi tho,ham
589,"I'm in a meeting, call me later at",ham
590,"For ur chance to win a ��250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",spam
591,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,spam
592,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,spam
593,You still at grand prix?,ham
594,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...",ham
595,I am great! How are you?,ham
596,Gud mrng dear have a nice day,ham
597,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam
598,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too,ham
599,I'm going out to buy mum's present ar.,ham
600,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,ham
601,If u sending her home first it's ok lor. I'm not ready yet.,ham
602,Speaking of does he have any cash yet?,ham
603,Be happy there. I will come after noon,ham
604,Meet after lunch la...,ham
605,TaKe CaRE n gET WeLL sOOn,ham
606,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ,spam
607,what I meant to say is cant wait to see u again getting bored of this bridgwater banter,ham
608,Neva mind it's ok..,ham
609,"It's fine, imma get a drink or somethin. Want me to come find you?",ham
610,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,spam
611,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,ham
612,I have many dependents,ham
613,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C,ham
614,I called and said all to him:)then he have to choose this future.,ham
615,"\Happy valentines day\"" I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...""",ham
616,He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.,ham
617,For my family happiness..,ham
618,I come n pick �_ up... Come out immediately aft ur lesson...,ham
619,Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.,ham
620,Dear we got  &lt;#&gt;  dollars hi hi,ham
621,Good words.... But words may leave u in dismay many times.,ham
622,MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED,ham
623,"sorry, no, have got few things to do. may be in pub later.",ham
624,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",ham
625,"Haha good to hear, I'm officially paid and on the market for an 8th",ham
626,How many licks does it take to get to the center of a tootsie pop?,ham
627,Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.,ham
628,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,spam
629,Todays Vodafone numbers ending with 4882 are selected to a receive a ��350 award. If your number matches call 09064019014 to receive your ��350 award.,spam
630,Please dont say like that. Hi hi hi,ham
631,Thank u!,ham
632,Oh that was a forwarded message. I thought you send that to me,ham
633,Got it. Seventeen pounds for seven hundred ml ��� hope ok.,ham
634,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",spam
635,Me n him so funny...,ham
636,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola",ham
637,When �_ login dat time... Dad fetching �_ home now?,ham
638,"What will we do in the shower, baby?",ham
639,I had askd u a question some hours before. Its answer,ham
640,"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out",ham
641," said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! ",ham
642,Probably gonna swing by in a wee bit,ham
643,Ya very nice. . .be ready on thursday,ham
644,Allo! We have braved the buses and taken on the trains and triumphed. I mean we���re in b���ham. Have a jolly good rest of week,ham
645,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",ham
646,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.,ham
647,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,spam
648,No prob. I will send to your email.,ham
649,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",spam
650,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),ham
651,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,ham
652,"Wait, do you know if wesleys in town? I bet she does hella drugs!",ham
653,Fine i miss you very much.,ham
654,Did u got that persons story,ham
655,Tell them the drug dealer's getting impatient,ham
656,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng",ham
657,You will be in the place of that man,ham
658,"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com",ham
659,88800 and 89034 are premium phone services call 08718711108,spam
660,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '",ham
661,Then mum's repent how?,ham
662,Sorry me going home first... Daddy come fetch �_ later...,ham
663,Leave it de:-). Start Prepare for next:-)..,ham
664,Yes baby! We can study all the positions of the kama sutra ;),ham
665,En chikku nange bakra msg kalstiya..then had tea/coffee?,ham
666,Carlos'll be here in a minute if you still need to buy,ham
667,This pay is  &lt;DECIMAL&gt;  lakhs:),ham
668,Have a good evening! Ttyl,ham
669,Did u receive my msg?,ham
670,Ho ho - big belly laugh! See ya tomo,ham
671,SMS. ac sun0819 posts HELLO:\You seem cool,spam
672,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just ��1.50 per wk 2 opt out send STOP 08452810071 16,spam
673,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace.",ham
674,"I've got  &lt;#&gt; , any way I could pick up?",ham
675,"I dont knw pa, i just drink milk..",ham
676,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? ,ham
677,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...",ham
678,Cause I'm not freaky lol,ham
679,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,ham
680,What is this 'hex' place you talk of? Explain!,ham
681,�� log off 4 wat. It's sdryb8i,ham
682,Is xy going 4 e lunch?,ham
683,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,spam
684,I wanted to ask �_ to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,ham
685,Have you finished work yet? :),ham
686,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8",ham
687,"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.",ham
688,Thanks love. But am i doing torch or bold.,ham
689,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,spam
690,Was the farm open?,ham
691,"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.",ham
692,"My sister in law, hope you are having a great month. Just saying hey. Abiola",ham
693,Will purchase d stuff today and mail to you. Do you have a po box number?,ham
694,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,ham
695,Good. Good job. I like entrepreneurs,ham
696,"Aight, you close by or still down around alex's place?",ham
697,meet you in corporation st outside gap ��_ you can see how my mind is working!,ham
698,Mum ask �_ to buy food home...,ham
699,K..u also dont msg or reply to his msg..,ham
700,How much r �_ willing to pay?,ham
701,"Sorry, I'll call later",ham
702,What is important is that you prevent dehydration by giving her enough fluids,ham
703,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!",ham
704,True dear..i sat to pray evening and felt so.so i sms'd you in some time...,ham
705,"I don't think I can get away for a trek that long with family in town, sorry",ham
706,So when do you wanna gym harri,ham
707,Quite late lar... Ard 12 anyway i wun b drivin...,ham
708,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT",spam
709,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,spam
710,Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students,ham
711,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,ham
712,08714712388 between 10am-7pm Cost 10p,spam
713,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",ham
714,He also knows about lunch menu only da. . I know,ham
715,When i have stuff to sell i.ll tell you,ham
716,+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON ��1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max��7. 50,spam
717,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748,ham
718,You have WON a guaranteed ��1000 cash or a ��2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,spam
719,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime,ham
720,Oh is it? Send me the address,ham
721,S'fine. Anytime. All the best with it.,ham
722,That is wondar full flim.,ham
723,Ya even those cookies have jelly on them,ham
724,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",ham
725,Got it! It looks scrumptious... daddy wants to eat you all night long!,ham
726,Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...,ham
727,"Alright omw, gotta change my order to a half8th",ham
728,Exactly. Anyways how far. Is jide her to study or just visiting,ham
729,Dunno y u ask me.,ham
730,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,spam
731,No he didn't. Spring is coming early yay!,ham
732,Lol you won't feel bad when I use her money to take you out to a steak dinner =D,ham
733,Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply,ham
734,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh,ham
735,Then why no one talking to me,ham
736,Thanks for looking out for me. I really appreciate.,ham
737,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY ��10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam
738,Wish i were with you now!,ham
739,Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,ham
740,Yes i will be there. Glad you made it.,ham
741,Do well :)all will for little time. Thing of good times ahead:,ham
742,Just got up. have to be out of the room very soon. ��_. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.,ham
743,Ok. There may be a free gym about.,ham
744,Men like shorter ladies. Gaze up into his eyes.,ham
745,Dunno he jus say go lido. Same time 930.,ham
746,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!",ham
747,U are subscribed to the best Mobile Content Service in the UK for ��3 per 10 days until you send STOP to 82324. Helpline 08706091795,spam
748,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,ham
749,By monday next week. Give me the full gist,ham
750,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",spam
751,You have an important customer service announcement from PREMIER.,spam
752,Dont gimme that lip caveboy,ham
753,When did you get to the library,ham
754,Realy sorry-i don't recognise this number and am now confused :) who r u please?! ,ham
755,So why didnt you holla?,ham
756,Cant think of anyone with * spare room off * top of my head,ham
757,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!",ham
758,U should have made an appointment,ham
759,"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts",ham
760,"Romantic Paris. 2 nights, 2 flights from ��79 Book now 4 next year. Call 08704439680Ts&Cs apply.",spam
761,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.",ham
762,Urgent Ur ��500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 ��1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,spam
763,Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,ham
764,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",ham
765,UR awarded a City Break and could WIN a ��200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 ��1.50perWKsub,spam
766,"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",ham
767,"Sorry, I'll call later",ham
768,I cant pick the phone right now. Pls send a message,ham
769,Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.,ham
770,Not getting anywhere with this damn job hunting over here!,ham
771,Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan? ,ham
772,"idc get over here, you are not weaseling your way out of this shit twice in a row",ham
773,I wil be there with in  &lt;#&gt;  minutes. Got any space,ham
774,Just sleeping..and surfing,ham
775,Thanks for picking up the trash.,ham
776,Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,ham
777,"\Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx\""""",ham
778,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola,ham
779,That means get the door,ham
780,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,ham
781,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?",ham
782,Beerage?,ham
783,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,spam
784,Dont think so. It turns off like randomlly within 5min of opening,ham
785,"She was supposed to be but couldn't make it, she's still in town though",ham
786,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure,ham
787,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),spam
788,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, ��3 per pole. UnSub 08718727870.",spam
789,Gud mrng dear hav a nice day,ham
790,This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola,ham
791,All e best 4 ur driving tmr :-),ham
792,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THAT��S AL!!!!!!!!!,ham
793,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!,ham
794,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,ham
795,it's really getting me down just hanging around.,ham
796,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa",spam
797,"\Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic\""""",ham
798,Ok i msg u b4 i leave my house.,ham
799,"\Gimme a few\"" was  &lt;#&gt;  minutes ago""",ham
800,"Last Chance! Claim ur ��150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. ��3.00 Sub. 16",spam
801,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice,ham
802,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,spam
803,You have won a guaranteed ��200 award or even ��1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,spam
804,K I'll be there before 4.,ham
805,I dled 3d its very imp,ham
806,"sure, but make sure he knows we ain't smokin yet",ham
807,Boooo you always work. Just quit.,ham
808,I am taking half day leave bec i am not well,ham
809,Ugh I don't wanna get out of bed. It's so warm.,ham
810,S:)s.nervous  &lt;#&gt; :),ham
811,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,ham
812,Congratulations ur awarded either ��500 of CD gift vouchers & Free entry 2 our ��100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,spam
813,I borrow ur bag ok.,ham
814,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",spam
815,Where's my boytoy? I miss you ... What happened?,ham
816,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up",ham
817,Also are you bringing galileo or dobby,ham
818,Then why you not responding,ham
819,"\BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & I��LLSPEAK 2U SOONLOTS OF LOVEME XXXX.\""""",ham
820,Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*,ham
821,On the road so cant txt,ham
822,"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",spam
823,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,spam
824,Have a good evening! Ttyl,ham
825,Hmm .. Bits and pieces lol ... *sighs* ...,ham
826,Hahaha..use your brain dear,ham
827,Hey. You got any mail?,ham
828,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around",ham
829,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola,ham
830,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,spam
831,Hi mate its RV did u hav a nice hol just a message 3 say hello coz haven��t sent u 1 in ages started driving so stay off roads!RVx,ham
832,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062",spam
833,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago",ham
834,Surely result will offer:),ham
835,Good Morning my Dear........... Have a great &amp; successful day.,ham
836,Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow,spam
837,"Sir, I have been late in paying rent for the past few months and had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thanks",ham
838,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,spam
839,Last chance 2 claim ur ��150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. ��3.00 Sub. 16 . Remove txt X or STOP,spam
840,I luv u soo much u don��t understand how special u r 2 me ring u 2morrow luv u xxx,ham
